Time,TimeStep,Iteration,Total_Iterations,Max_Velocity_Error,Max_Pressure_Error,CNN_Used,CNN_Active
  2.9801099E-01,    160,      1,    332,  7.9015519E-05,  2.0506951E-10,0,1
  2.9904893E-01,    161,      1,    334,  7.9495306E-05,  2.0284219E-10,0,1
  3.0008687E-01,    162,      1,    336,  7.9975401E-05,  2.2159852E-10,0,1
  3.0112482E-01,    163,      1,    338,  8.0451208E-05,  2.3002933E-10,0,1
  3.0216276E-01,    164,      1,    340,  8.0919187E-05,  2.1967449E-10,0,1
  3.0320071E-01,    165,      1,    342,  8.1377150E-05,  2.2449953E-10,0,1
  3.0423865E-01,    166,      1,    344,  8.1824366E-05,  2.4855987E-10,0,1
  3.0527660E-01,    167,      1,    346,  8.2261497E-05,  2.0122570E-10,0,1
  3.0631454E-01,    168,      1,    348,  8.2690379E-05,  1.8392278E-10,0,1
  3.0735248E-01,    169,      1,    350,  8.3113698E-05,  2.1327501E-10,0,1
  3.0839043E-01,    170,      1,    352,  8.3534595E-05,  2.0265230E-10,0,1
  3.0942837E-01,    171,      1,    354,  8.3956269E-05,  2.1413538E-10,0,1
  3.1046632E-01,    172,      1,    356,  8.4381603E-05,  2.1244873E-10,0,1
  3.1150426E-01,    173,      1,    358,  8.4812869E-05,  2.2419044E-10,0,1
  3.1254220E-01,    174,      1,    360,  8.5251529E-05,  2.1001723E-10,0,1
  3.1358015E-01,    175,      1,    362,  8.5698151E-05,  2.3276492E-10,0,1
  3.1461809E-01,    176,      1,    364,  8.6152430E-05,  2.0993163E-10,0,1
  3.1565604E-01,    177,      1,    366,  8.6613317E-05,  2.4226665E-10,0,1
  3.1669398E-01,    178,      1,    368,  8.7079207E-05,  1.9190338E-10,0,1
  3.1773193E-01,    179,      1,    370,  8.7548187E-05,  2.8490069E-10,0,1
  3.1876987E-01,    180,      1,    372,  8.8018284E-05,  2.3283064E-10,0,1
  3.1980781E-01,    181,      1,    374,  8.8487700E-05,  2.0192326E-10,0,1
  3.2084576E-01,    182,      1,    376,  8.8955004E-05,  2.0451105E-10,0,1
  3.2188370E-01,    183,      1,    378,  8.9419259E-05,  2.1145752E-10,0,1
  3.2292165E-01,    184,      1,    380,  8.9880083E-05,  2.1896085E-10,0,1
  3.2395959E-01,    185,      1,    382,  9.0337639E-05,  1.9417712E-10,0,1
  3.2499753E-01,    186,      1,    384,  9.0792559E-05,  2.1668711E-10,0,1
  3.2603548E-01,    187,      1,    386,  9.1245827E-05,  2.3635494E-10,0,1
  3.2707342E-01,    188,      1,    388,  9.1698632E-05,  2.1424285E-10,0,1
  3.2811137E-01,    189,      1,    390,  9.2152208E-05,  1.9733060E-10,0,1
  3.2914931E-01,    190,      1,    392,  9.2607695E-05,  2.1740121E-10,0,1
  3.3018726E-01,    191,      1,    394,  9.3066012E-05,  2.6375346E-10,0,1
  3.3122520E-01,    192,      1,    396,  9.3527783E-05,  2.0872903E-10,0,1
  3.3226314E-01,    193,      1,    398,  9.3993293E-05,  2.2612476E-10,0,1
  3.3319567E-01,    194,      1,    401,  8.5072688E-05,  2.0401908E-10,0,1
  3.3412820E-01,    195,      1,    403,  8.5152661E-05,  2.0008883E-10,0,1
